,img_name,dmos
120,I01_25_01.png,3.43
121,I01_25_02.png,3.87
122,I01_25_03.png,4.26
123,I01_25_04.png,4.17
124,I01_25_05.png,3.27
245,I02_25_01.png,3.37
246,I02_25_02.png,3.7
247,I02_25_03.png,4.27
248,I02_25_04.png,4.1
249,I02_25_05.png,3.33
370,I03_25_01.png,3.67
371,I03_25_02.png,3.84
372,I03_25_03.png,4.63
373,I03_25_04.png,4.4
374,I03_25_05.png,3.67
495,I04_25_01.png,3.61
496,I04_25_02.png,3.73
497,I04_25_03.png,3.9
498,I04_25_04.png,4.23
499,I04_25_05.png,3.43
620,I05_25_01.png,2.9
621,I05_25_02.png,3.5
622,I05_25_03.png,4.0
623,I05_25_04.png,4.23
624,I05_25_05.png,3.6
745,I06_25_01.png,3.0
746,I06_25_02.png,3.83
747,I06_25_03.png,4.13
748,I06_25_04.png,3.23
749,I06_25_05.png,2.43
870,I07_25_01.png,2.87
871,I07_25_02.png,4.03
872,I07_25_03.png,4.63
873,I07_25_04.png,4.43
874,I07_25_05.png,3.57
995,I08_25_01.png,3.87
996,I08_25_02.png,4.0
997,I08_25_03.png,4.43
998,I08_25_04.png,4.53
999,I08_25_05.png,3.7
1120,I09_25_01.png,3.07
1121,I09_25_02.png,3.63
1122,I09_25_03.png,4.23
1123,I09_25_04.png,4.1
1124,I09_25_05.png,3.57
1245,I10_25_01.png,3.23
1246,I10_25_02.png,3.6
1247,I10_25_03.png,4.37
1248,I10_25_04.png,4.33
1249,I10_25_05.png,3.83
1370,I11_25_01.png,3.3
1371,I11_25_02.png,3.57
1372,I11_25_03.png,4.3
1373,I11_25_04.png,3.73
1374,I11_25_05.png,2.83
1495,I12_25_01.png,3.07
1496,I12_25_02.png,3.87
1497,I12_25_03.png,4.35
1498,I12_25_04.png,4.33
1499,I12_25_05.png,3.07
1620,I13_25_01.png,3.97
1621,I13_25_02.png,4.13
1622,I13_25_03.png,4.63
1623,I13_25_04.png,4.32
1624,I13_25_05.png,3.4
1745,I14_25_01.png,3.37
1746,I14_25_02.png,3.63
